isbn,title,author,publisher,published_year,genre,description,cover_image_url,lang
9.79E+12,Tafsir Konsep Ekonomi Rakyat Gus Dur,Arif Budianto,Kepustakaan Populer Gramedia,2025,Biography; History; Politics,"KH. Abdurrahman Wahid atau Gus Dur adalah tokoh politik dan Presiden Ke-4 Republik Indonesia. Lebih dalam dari itu, Gus Dur adalah seorang intelektual publik yang datang dari lingkungan pendidikan dan kebudayaan Nahdlatul Ulama. Melalui berbagai tulisannya, Gus Dur menyuarakan beragam hal, mulai dari kebebasan, kebhinekaan, serta hubungan negara dan agama, sosial juga budaya. Namun, dalam sejumlah tulisan lain, kita juga menemukan pergulatan minat dan pemikiran Gus Dur tentang ekonomi. Sesekali Gus Dur masih mempertanyakan “Sistem Ekonomi Islam”, mempertanyakan efektivitas “Sistem Ekonomi Sosialis”, dan jelaslah Gus Dur mengkhawatirkan atas “Sistem Ekonomi Kapitalis”. Bukan hanya sebatas tulisan, Gus Dur juga memanifestasikan gagasan-gagasannya perihal ekonomi. Di lingkungan NU, ia mendorong tumbuhnya ekonomi pesantren dan memberikan perhatian yang tinggi pada koperasi. Gus Dur pernah mendirikan Bank Perkreditan Rakyat (BPR) dengan menggandeng Grup Summa pada 1990 dengan nama BPR Nusumma—bekerja sama dengan Edward S. Soeryadjaya. Buku ini hendak meneroka kembali dan menafsir pemikiran dan manifesto sikap Gus Dur tentang bagaimana ekonomi rakyat itu sejatinya tercipta di Indonesia. Buku yang diangkat dari tesis Arif Budianto ini penting dibaca oleh mahasiswa dan akademisi ekonomi maupun intelektual publik yang berminat pada pemikiran Gus Dur dan wacana ekonomi di Indonesia.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/artk2xpmr-.jpg,id
9.79E+12,"Di Balik Seragam : Kehidupan dan Dedikasi Komjen. Pol. Drs. Agus Andrianto, S.H., M.H.",Agus Sukoco,Penerbit Buku Kompas,2024,Biography,"“Ketika mandat profesi polisi berada pada tangan manusia yang jiwanya telah terintegrasi nilai-nilai spiritual, maka hak institusionalnya sebagai implementasi fungsi negara akan lebih dirasakan oleh masyarakat. Apa pun pangkat dan jabatannya, masyarakat akan melihatnya sebagai polisi yang saleh. Polisi semacam itu hanya memiliki satu motivasi dalam bekerja, yakni menyayangi dan mengasihi masyarakat.” Dalam buku ini, kita diajak menyelami kehidupan dan pemikiran salah satu perwira tinggi Kepolisian Negara Republik Indonesia yang inspiratif, Komjen. Pol. Drs. Agus Andrianto, S.H., M.H. Sejak awal kariernya hingga mencapai posisi Wakapolri, Agus Andrianto dikenal sebagai sosok yang berdedikasi, berintegritas, dan memiliki visi yang jelas untuk memajukan institusi kepolisian dan meningkatkan pelayanan kepada masyarakat.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/products/su-zi2i-oi.jpg,id
9.79E+12,Ahmad Muzani: Ikhtiar Memenangkan Prabowo,Ricad Saka,Penerbit Buku Kompas,2026,Biography,"Buku ini merupakan kelanjutan dari buku “Konsistensi dalam Politik” (2024). Catatan perjalanan kampanye Ahmad Muzani memenangkan Prabowo Subianto pada Pilpres 2024. Dalam ikhtiarnya tersebut, Ahmad Muzani selalu menyertakan langkahnya dengan nilai-nilai jati diri yang terkandung dalam manifesto Gerindra: kebangsaan (nasionalisme), kerakyatan, religius dan keadilan sosial. Perjalanan kampanye Muzani bukanlah perkara urusan merebut kekuasaan belaka. Tapi bagaimana agar politik dimaknai sebagai upaya menciptakan kebaikan bersama (bonum commune). Sebab, pada dasarnya politik adalah pekerjaan yang mulia. Sebuah catatan perjalanan kontemplatif di tengah riuh rendah politik Indonesia.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/pmiaann08a.jpg,id
9.79E+12,"Fransiskus, Paus dari Dunia Baru",Andrea Tornielli,Gramedia Pustaka Utama,2024,Biography,"Pelataran Basilika Santo Petrus, Vatikan, dipenuhi hamparan luas payung payung yang mengembang. Ribuan orang, seraya menahan udara dingin yang menggigit serta terpaan air hujan selama berjam-jam, menantikan saat cerobong asap Kapel Sistina memberikan tanda-tanda yang diharapkan. Pada saat jarum jam menunjuk pukul 19.05, segumpal asap putih membumbung. Awalnya asap putih itu sangat tipis, tetapi kemudian berangsur-angsur menjadi lebih tebal dan bersih. Asap putih itu pun mulai membumbung dengan kencang dari cerobong asap, mengirimkan pesan yang jelas kepada orang-orang yang terpesona dan mulai bersorak-sorai. Paus telah terpilih, walaupun dunia belum tahu nama dan wajahnya. Pada saat itu hujan berhenti. Penantian itu seperti tak berkesudahan. Akhirnya, jendela besar teras utama Basilika Santo Petrus terbuka. Dialah Kardinal dari Buenos Aires, Jorge Mario Bergoglio. Dialah Jesuit pertama yang menjadi Uskup Roma dan yang pertama dalam sejarah Gereja menggunakan nama Fransiskus, si Miskin dari Asisi. Dialah Paus yang dengan rendah hati mengatakan, “Saya menginginkan Gereja yang miskin dan untuk orang miskin!”",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/picture_meta/2024/6/7/afvqftr8ufiv9h65dxcwql.jpg,id
9.79E+12,Creep: Menelusuri Perjumpaan dengan Mahluk Tak Terlihat,Ino Septian,Andam,2026,Fiction; Horror,"Kumpulan cerita seram dan mengajakmu menelusuri perjumpaan dengan makhluk tak terlihat, bisikan dari sudut gelap, dan rahasia kelam yang seharusnya tetap tersembunyi. Setiap cerita siap menghantui hari-harimu dan mempertanyakan: apa yang paling harus kau takuti? Dunia gaib… atau manusia?",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/mpkcurlt-n.jpg,id
9.79E+12,Tarekat Sufi Melawan Kolonialisme,Prof. Dr. Ali Muhammad Ash-Shallabi,Pustaka Al Kautsar,2025,Biography; History,"Gerakan Sanusiyah adalah gerakan tarekat sufi yang didirikan Muhammad bin Ali As-Sanusi di awal abad ke-19. Gerakan ini berhasil melawan kolonialisme Italia yang setelahnya berdampak besar pada sejarah Libya dan dunia Islam. Melalui narasi yang mendalam dan sumber sejarah yang akurat, ahli sejarah kelahiran Libya, DR. Ali Muhamad Ash-Shallabi mengajak pembaca untuk mengenal lebih dekat sepak terjang gerakan tarekat sufi ini dalam mengusir para penjajah, gerakan ini berhasil mengukuhkan nilai-nilai spiritual dan membangun semangat perjuangan dan keberanian masyarakat Libya. Tidak hanya sebagai gerakan keagamaan, gerakan tarekat sufi ini memainkan peran penting dalam bidang sosial dan politik yang menginspirasi semangat perjuangan dan kemerdekaan. Buku ini menjadi bacaan wajib bagi siapa saja yang tertarik dengan sejarah Islam, gerakan sosial, dan perjuangan kemerdekaan. Temukan inspirasi dari kisah nyata perjuangan tokoh-tokohnya, mulai dari Muhamad bin Ali hingga Umar Mukhtar. Tak pelak, buku ini layak Anda miliki.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/2imxe1xall.jpg,id
9.79E+12,Pentingnya Stabilisasi Pangan di Indonesia,Bustanul Arifin,Penerbit Buku Kompas,2024,Science,"Apakah Indonesia membutuhkan kebijakan stabilisasi pangan berkelanjutan? Bagaimana stabilisasi harus dilakukan? Lalu, bagaimana memposisikan lembaga parastatal seperti Perum BULOG? Dengan fokus menjawab tiga pertanyaan itu, buku ini menelusuri sejarah kebijakan stabilisasi pangan sejak tahun 1970-an hingga kondisi mutakhir. Pertanyaan mengapa Orde Baru bisa menunaikan stabilisasi pangan dengan baik, mengapa kehadiran Badan Pangan Nasional menghadapi segudang tantangan, dan mengapa terjadi diskoneksi instrumen stabilisasi harga dengan kebijakan produksi diurai tuntas dalam buku ini. Dipadu tinjauan teoretis yang solid, kajian dan analisis terhadap sejumlah kasus—seperti relasi stabilisasi harga pangan dengan stabilitas produksi, integrasi pasar, urgensi pengelolaan impor, kaitan stabilisasi harga pangan dengan konsumsi dan capaian SDGs, dinamika harga gabah dan beras di produsen dan konsumen, efektivitas pengendalian harga gabah dan beras hingga masalah stabilisasi harga beras antar-pulau—buku ini merangkai secara komplet hulu-hilir kebijakan stabilisasi pangan. Plus tinjauan masa depan stabilisasi pangan, bagaimana BULOG harus berubah serta manfaat dan mudarat stabilisasi membuat buku ini bagaikan paket lengkap. Beberapa poin penting dari buku ini: Stabilisasi harga pangan sangat penting untuk menjaga ketahanan nasional dan daya beli masyarakat. Fluktuasi harga pangan dapat disebabkan oleh berbagai faktor, seperti musim, bencana alam, dan kebijakan pemerintah. Terdapat berbagai strategi yang dapat dilakukan untuk mencapai stabilisasi pangan, seperti peningkatan produksi pangan, pengelolaan cadangan pangan, penyempurnaan sistem distribusi, dan pengendalian harga pangan. Mencapai stabilisasi pangan membutuhkan kerjasama dari berbagai pihak, seperti pemerintah, petani, pelaku usaha, dan masyarakat.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/picture_meta/2024/5/15/3t8yoizvfaxdggypxq46z4.jpg,id
9.79E+12,Sang Pejuang Tangguh: Biografi Kecil Pangeran Diponegoro,"Firman Sujadi, A. Saibani",bee media,2026,Biography; History,"Diponegoro, puisi karya Chairil Anwar, menggambarkan Pangeran Diponegoro sebagai sosok pejuang yang tidak hanya bertempur dengan senjata, tetapi juga dengan semangat, strategi, dan keyakinan yang kuat. Dalam Perang Jawa (1825-1830), ia memimpin perjuangan dengan keberanian luar biasa, menentang ketidakadilan, menantang penjajahan. Meskipun akhirnya ditangkap dan diasingkan, semangat juangnya tetap abadi, menginspirasi generasi penerus untuk terus berjuang demi keadilan dan kebebasan. Pangeran Diponegoro bukan hanya pahlawan, tetapi simbol keteguhan hati dan perlawanan yang tak pernah padam, sosok Sang Pejuang Tangguh.",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/ancdr5---n.jpg,id
9.79E+12,Hubungan Tanpa Status,Rahmanida,Red Swan Books,2026,Romance,"Rachel Brittany sudah terlalu lama terjebak dalam hubungan tanpa status bersama Rafi. Lelaki itu hanya datang padanya saat kesepian dan pergi kapan pun ia ingin, membuat Rachel berpikir mungkin dirinya memang sulit untuk dicintai. Segalanya berubah ketika Ken hadir di hidup Rachel. Dari tetangga baru yang misterius, kini Ken menjadi sosok yang paling berpengaruh dalam hidupnya. Beban di pundak Rachel sedikit demi sedikit luruh bersama obrolan-obrolan mereka dari balkon kamar masing-masing. Semuanya terasa lebih baik, sampai ketika Ken menawarkan kenyamanan nyata dan janji untuk menetap selamanya, Rachel justru meragu. Bagaimana kalau ia kembali terperangkap dalam permainan perasaan yang melelahkan? Bagaimana kalau memang benar, tidak ada hubungan yang pantas untuknya?",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/hv4nnt0btu.jpg,id
9.79E+12,Jalan Panjang untuk Dicintai,Nara Lahmusi,Bhuana Ilmu Populer,2026,Romance,"Di masa perang, mencintai bisa menjadi bentuk perlawanan paling berbahaya. Pada 1943 di kampung Kulitan kota S, Avifah kehilangan banyak hal: ayahnya, masa depannya, dan hak untuk memilih hidupnya sendiri. Dia dicintai, tapi oleh orang yang salah dan pada waktu yang salah. Ali mencintainya dengan keberanian, sedangkan Baruji mencintainya dengan kesabaran. Saat pengorbanan dua remaja laki-laki itu menuntut harga paling mahal, Avifah bimbang, siapa yang berhak dicintai? Dan siapa yang harus belajar bertahan hidup setelah cinta itu pergi?",https://image.gramedia.net/rs:fit:0:0/plain/https://cdn.gramedia.com/uploads/product-metas/in-6cxlakk.jpg,id
